order_id,order_date,warehouse_id,warehouse_city,warehouse_state,warehouse_region,product_category,unit_price,quantity,order_value,product_weight_kg,total_weight_kg,shipping_method,expected_delivery_date,actual_delivery_date,carrier,order_status,delivery_delay_days,shipping_cost,customer_satisfaction,inventory_level,reorder_point,stock_status,supplier,supplier_rating,lead_time_days,return_reason,distance_km,route_optimization_score,warehouse_lat,warehouse_lon
ORD-000018,2025-10-12,FC-DFW-04,Dallas,TX,South,Sports & Outdoors,244.44,1,244.44,9.66,9.66,One-Day,2025-10-13,2025-10-14,UPS,Returned,1.0,14.8,,235,62,In Stock,Supplier-A,2.7,4,Wrong Item,793.1,0.63,32.77,-96.79
ORD-000019,2026-02-28,FC-DFW-04,Dallas,TX,South,Toys,24.05,4,96.2,2.51,10.04,Two-Day,2026-03-02,2026-03-03,UPS,Delivered,1.0,23.09,3.0,316,28,In Stock,Supplier-E,2.6,5,,1105.2,0.8,32.77,-96.79
ORD-000020,2026-04-19,FC-MIA-05,Miami,FL,Southeast,Toys,90.83,5,454.15,5.51,27.55,Same-Day,2026-04-19,2026-04-20,Amazon Logistics,Delivered,1.0,55.59,4.0,69,70,Low Stock,Supplier-E,3.2,7,,929.3,0.95,25.76,-80.19
ORD-000021,2025-06-28,FC-SEA-06,Seattle,WA,West,Electronics,601.78,5,3008.9,0.7,3.5,Standard (3-5 days),2025-07-01,,Amazon Logistics,In Transit,,8.67,,280,30,In Stock,Supplier-C,3.0,14,,674.6,0.96,47.6,-122.33
ORD-000022,2026-03-29,FC-CHI-03,Chicago,IL,Midwest,Clothing,137.12,2,274.24,0.17,0.34,One-Day,2026-03-30,,Amazon Logistics,In Transit,,3.22,,27,90,Low Stock,Supplier-D,4.1,5,,907.4,0.63,41.87,-87.62
ORD-000023,2025-09-24,FC-LAX-02,Los Angeles,CA,West,Books,54.69,5,273.45,0.8,4.0,Two-Day,2025-09-26,,Amazon Logistics,In Transit,,7.16,,317,28,In Stock,Supplier-B,3.3,17,,1018.6,0.86,34.05,-118.24
ORD-000024,2026-05-13,FC-CHI-03,Chicago,IL,Midwest,Grocery,53.45,5,267.25,3.19,15.95,One-Day,2026-05-14,2026-05-15,Amazon Logistics,Delivered,1.0,40.99,3.0,141,66,In Stock,Supplier-B,4.2,13,,2639.8,0.79,41.87,-87.62
ORD-000025,2026-06-09,FC-SEA-06,Seattle,WA,West,Toys,41.05,4,164.2,4.42,17.68,Standard (3-5 days),2026-06-12,,FedEx,Cancelled,,24.52,,275,45,In Stock,Supplier-C,4.3,5,,2195.9,0.96,47.6,-122.33
ORD-000026,2026-03-21,FC-NYC-01,New York,NY,Northeast,Grocery,78.19,5,390.95,9.7,48.5,Two-Day,2026-03-23,,USPS,In Transit,,102.83,,276,80,In Stock,Supplier-B,3.4,10,,2679.7,0.84,40.71,-74.0
ORD-000027,2026-01-15,FC-MIA-05,Miami,FL,Southeast,Clothing,135.07,4,540.28,1.89,7.56,Two-Day,2026-01-17,2026-01-17,Amazon Logistics,Delivered,0.0,24.62,3.0,350,41,In Stock,Supplier-E,2.9,8,,578.5,0.98,25.76,-80.19
ORD-000028,2025-10-05,FC-CHI-03,Chicago,IL,Midwest,Office Products,277.34,3,832.02,6.02,18.06,Same-Day,2025-10-05,2025-10-05,Amazon Logistics,Delivered,0.0,21.41,5.0,464,66,In Stock,Supplier-D,3.7,17,,2650.6,0.62,41.87,-87.62
ORD-000029,2026-01-30,FC-SEA-06,Seattle,WA,West,Home & Kitchen,86.43,5,432.15,1.78,8.9,Two-Day,2026-02-01,,UPS,In Transit,,17.88,,193,66,In Stock,Supplier-E,4.1,5,,1574.2,0.75,47.6,-122.33
ORD-000030,2026-04-12,FC-DFW-04,Dallas,TX,South,Automotive,104.35,4,417.4,0.55,2.2,One-Day,2026-04-13,2026-04-13,FedEx,Returned,0.0,8.57,,225,41,In Stock,Supplier-B,2.7,11,Wrong Item,601.4,0.74,32.77,-96.79
ORD-000031,2025-11-04,FC-LAX-02,Los Angeles,CA,West,Books,25.35,4,101.4,1.09,4.36,Standard (3-5 days),2025-11-09,2025-11-09,UPS,Delivered,0.0,8.12,4.0,11,51,Low Stock,Supplier-A,2.8,21,,525.3,0.85,34.05,-118.24
ORD-000032,2025-06-18,FC-NYC-01,New York,NY,Northeast,Grocery,37.61,2,75.22,8.3,16.6,One-Day,2025-06-19,2025-06-22,UPS,Delivered,3.0,40.03,1.0,372,56,In Stock,Supplier-A,3.0,18,,2608.5,0.67,40.71,-74.0
ORD-000033,2025-09-04,FC-ATL-07,Atlanta,GA,Southeast,Grocery,55.64,2,111.28,2.88,5.76,Standard (3-5 days),2025-09-07,,Amazon Logistics,In Transit,,18.87,,305,95,In Stock,Supplier-A,3.1,15,,440.0,0.61,33.75,-84.38
ORD-000034,2026-06-07,FC-ATL-07,Atlanta,GA,Southeast,Clothing,121.91,5,609.55,0.37,1.85,Same-Day,2026-06-07,,Amazon Logistics,Cancelled,,6.28,,385,35,In Stock,Supplier-A,3.7,7,,2710.9,0.82,33.75,-84.38
ORD-000035,2026-01-17,FC-NYC-01,New York,NY,Northeast,Sports & Outdoors,296.2,5,1481.0,0.84,4.2,Two-Day,2026-01-19,,Amazon Logistics,Pending,,13.3,,195,64,In Stock,Supplier-E,4.5,21,,338.3,0.65,40.71,-74.0
ORD-000036,2025-12-06,FC-DEN-08,Denver,CO,West,Books,19.9,1,19.9,1.98,1.98,Standard (3-5 days),2025-12-11,2025-12-12,Amazon Logistics,Delivered,1.0,4.43,4.0,266,20,In Stock,Supplier-D,4.1,13,,1256.1,0.64,39.73,-104.99
ORD-000037,2025-11-04,FC-ATL-07,Atlanta,GA,Southeast,Grocery,82.1,3,246.3,0.15,0.45,One-Day,2025-11-05,,UPS,In Transit,,3.84,,203,46,In Stock,Supplier-D,3.9,20,,1473.3,0.75,33.75,-84.38
ORD-000038,2025-09-02,FC-DEN-08,Denver,CO,West,Toys,147.16,3,441.48,5.68,17.04,Two-Day,2025-09-04,,FedEx,Cancelled,,41.78,,382,49,In Stock,Supplier-D,4.5,8,,345.8,0.8,39.73,-104.99
ORD-000039,2025-10-03,FC-SEA-06,Seattle,WA,West,Automotive,31.47,5,157.35,7.74,38.7,Standard (3-5 days),2025-10-08,2025-10-10,Amazon Logistics,Delayed,2.0,46.84,,74,80,Low Stock,Supplier-E,3.6,5,,826.1,0.75,47.6,-122.33
ORD-000040,2025-12-04,FC-NYC-01,New York,NY,Northeast,Sports & Outdoors,43.6,4,174.4,3.65,14.6,Standard (3-5 days),2025-12-09,,FedEx,In Transit,,44.68,,419,42,In Stock,Supplier-D,3.6,9,,2559.2,0.97,40.71,-74.0
ORD-000041,2025-08-06,FC-MIA-05,Miami,FL,Southeast,Books,51.75,1,51.75,2.19,2.19,Standard (3-5 days),2025-08-11,,UPS,In Transit,,6.21,,335,20,In Stock,Supplier-B,2.7,11,,2350.0,0.74,25.76,-80.19
ORD-000042,2025-08-01,FC-ATL-07,Atlanta,GA,Southeast,Sports & Outdoors,28.43,5,142.15,3.38,16.9,Two-Day,2025-08-03,2025-08-04,USPS,Delivered,1.0,38.0,4.0,177,55,In Stock,Supplier-B,4.0,9,,1391.5,0.76,33.75,-84.38
ORD-000043,2025-12-26,FC-NYC-01,New York,NY,Northeast,Toys,68.41,2,136.82,2.56,5.12,Two-Day,2025-12-28,2025-12-28,UPS,Delivered,0.0,12.78,5.0,275,93,In Stock,Supplier-C,4.2,15,,1711.3,0.91,40.71,-74.0
ORD-000044,2025-08-03,FC-SEA-06,Seattle,WA,West,Office Products,194.89,4,779.56,7.32,29.28,Standard (3-5 days),2025-08-06,2025-08-06,Amazon Logistics,Delivered,0.0,89.99,4.0,117,60,In Stock,Supplier-D,4.9,19,,1630.2,0.88,47.6,-122.33
ORD-000045,2025-12-15,FC-MIA-05,Miami,FL,Southeast,Books,40.42,3,121.26,2.24,6.72,One-Day,2025-12-16,2025-12-16,Amazon Logistics,Returned,0.0,13.8,,457,93,In Stock,Supplier-C,3.0,9,Changed Mind,639.0,0.89,25.76,-80.19
ORD-000046,2025-12-08,FC-MIA-05,Miami,FL,Southeast,Books,58.49,2,116.98,0.48,0.96,Two-Day,2025-12-10,2025-12-12,Amazon Logistics,Delivered,2.0,4.75,2.0,314,20,In Stock,Supplier-E,4.9,18,,1145.0,0.73,25.76,-80.19
ORD-000047,2026-04-20,FC-MIA-05,Miami,FL,Southeast,Office Products,172.77,2,345.54,7.63,15.26,Economy (5-8 days),2026-04-27,,Amazon Logistics,Out for Delivery,,21.14,,269,74,In Stock,Supplier-D,4.8,4,,1532.3,0.76,25.76,-80.19
ORD-000048,2025-10-28,FC-CHI-03,Chicago,IL,Midwest,Office Products,153.2,1,153.2,7.73,7.73,Standard (3-5 days),2025-11-01,2025-11-01,FedEx,Delivered,0.0,19.08,5.0,313,53,In Stock,Supplier-B,3.9,10,,844.8,0.98,41.87,-87.62
ORD-000049,2025-07-07,FC-SEA-06,Seattle,WA,West,Health & Personal Care,133.99,2,267.98,5.28,10.56,Two-Day,2025-07-09,2025-07-11,FedEx,Delivered,2.0,18.66,3.0,67,93,Low Stock,Supplier-B,4.5,11,,2422.1,0.82,47.6,-122.33
ORD-000050,2026-02-05,FC-ATL-07,Atlanta,GA,Southeast,Books,13.09,2,26.18,0.26,0.52,Economy (5-8 days),2026-02-11,2026-02-11,UPS,Delivered,0.0,3.14,3.0,322,86,In Stock,Supplier-E,4.3,18,,935.1,0.82,33.75,-84.38
ORD-000051,2026-03-16,FC-NYC-01,New York,NY,Northeast,Sports & Outdoors,194.56,1,194.56,0.41,0.41,Standard (3-5 days),2026-03-19,2026-03-19,FedEx,Delivered,0.0,3.27,5.0,184,66,In Stock,Supplier-E,3.9,11,,1065.2,0.76,40.71,-74.0
ORD-000052,2025-08-17,FC-SEA-06,Seattle,WA,West,Grocery,52.33,2,104.66,3.21,6.42,Standard (3-5 days),2025-08-22,2025-08-22,DHL,Delivered,0.0,15.35,4.0,228,30,In Stock,Supplier-D,4.0,17,,1913.6,0.66,47.6,-122.33
ORD-000053,2025-12-25,FC-CHI-03,Chicago,IL,Midwest,Health & Personal Care,82.29,4,329.16,9.08,36.32,Two-Day,2025-12-27,2025-12-27,FedEx,Delivered,0.0,54.28,5.0,149,54,In Stock,Supplier-E,4.1,11,,2668.7,0.91,41.87,-87.62
ORD-000054,2025-07-25,FC-SEA-06,Seattle,WA,West,Grocery,76.29,5,381.45,4.16,20.8,Economy (5-8 days),2025-07-31,2025-08-01,Amazon Logistics,Delivered,1.0,50.56,2.0,358,30,In Stock,Supplier-B,2.9,6,,331.9,0.97,47.6,-122.33
ORD-000055,2026-03-24,FC-DEN-08,Denver,CO,West,Automotive,32.32,1,32.32,2.37,2.37,One-Day,2026-03-25,,Amazon Logistics,In Transit,,5.18,,476,69,In Stock,Supplier-C,3.1,12,,1357.3,0.65,39.73,-104.99
ORD-000056,2025-11-12,FC-CHI-03,Chicago,IL,Midwest,Electronics,206.05,1,206.05,1.52,1.52,Two-Day,2025-11-14,,UPS,Cancelled,,6.86,,280,76,In Stock,Supplier-B,4.9,20,,572.3,0.84,41.87,-87.62
ORD-000057,2026-05-02,FC-ATL-07,Atlanta,GA,Southeast,Automotive,244.35,5,1221.75,9.3,46.5,One-Day,2026-05-03,,UPS,Pending,,89.05,,187,72,In Stock,Supplier-C,2.9,3,,50.3,0.93,33.75,-84.38
ORD-000058,2026-04-27,FC-CHI-03,Chicago,IL,Midwest,Health & Personal Care,262.72,3,788.16,6.37,19.11,Two-Day,2026-04-29,2026-04-28,USPS,Delivered,-1.0,37.63,5.0,118,20,In Stock,Supplier-E,3.4,16,,2652.4,0.77,41.87,-87.62
ORD-000059,2025-12-17,FC-DFW-04,Dallas,TX,South,Clothing,34.49,4,137.96,1.63,6.52,Standard (3-5 days),2025-12-20,,Amazon Logistics,In Transit,,15.63,,409,98,In Stock,Supplier-C,3.2,20,,2436.0,0.77,32.77,-96.79
ORD-000060,2026-04-06,FC-LAX-02,Los Angeles,CA,West,Clothing,84.59,2,169.18,1.8,3.6,Two-Day,2026-04-08,2026-04-08,UPS,Delivered,0.0,7.34,5.0,25,88,Low Stock,Supplier-A,3.0,6,,882.2,0.65,34.05,-118.24
ORD-000061,2025-09-21,FC-DEN-08,Denver,CO,West,Electronics,1076.87,2,2153.74,4.06,8.12,Same-Day,2025-09-21,2025-09-21,Amazon Logistics,Delivered,0.0,23.31,5.0,190,79,In Stock,Supplier-A,3.3,7,,215.3,0.91,39.73,-104.99
ORD-000062,2026-06-10,FC-LAX-02,Los Angeles,CA,West,Automotive,41.92,4,167.68,3.25,13.0,One-Day,2026-06-11,2026-06-12,FedEx,Delivered,1.0,21.58,3.0,226,51,In Stock,Supplier-A,3.0,6,,1587.4,0.99,34.05,-118.24
ORD-000063,2025-07-20,FC-DEN-08,Denver,CO,West,Sports & Outdoors,133.86,3,401.58,2.36,7.08,Standard (3-5 days),2025-07-23,2025-07-23,FedEx,Delivered,0.0,16.25,5.0,184,26,In Stock,Supplier-B,4.9,10,,1917.1,0.73,39.73,-104.99
ORD-000064,2025-07-08,FC-CHI-03,Chicago,IL,Midwest,Toys,172.84,5,864.2,6.56,32.8,Same-Day,2025-07-08,2025-07-11,Amazon Logistics,Delayed,3.0,80.21,,352,96,In Stock,Supplier-B,3.4,5,,783.7,0.8,41.87,-87.62
ORD-000065,2026-05-19,FC-SEA-06,Seattle,WA,West,Electronics,620.24,1,620.24,0.13,0.13,One-Day,2026-05-20,2026-05-23,Amazon Logistics,Delivered,3.0,2.83,1.0,412,76,In Stock,Supplier-B,2.6,15,,1106.6,0.65,47.6,-122.33
ORD-000066,2025-10-09,FC-NYC-01,New York,NY,Northeast,Office Products,74.41,4,297.64,4.23,16.92,Two-Day,2025-10-11,2025-10-11,Amazon Logistics,Delivered,0.0,44.02,5.0,425,96,In Stock,Supplier-E,2.9,19,,507.3,0.72,40.71,-74.0
ORD-000067,2025-11-10,FC-MIA-05,Miami,FL,Southeast,Automotive,107.91,3,323.73,1.29,3.87,Two-Day,2025-11-12,2025-11-13,FedEx,Returned,1.0,9.09,,317,50,In Stock,Supplier-C,4.3,20,Late Delivery,610.1,0.87,25.76,-80.19
ORD-000068,2025-07-25,FC-CHI-03,Chicago,IL,Midwest,Grocery,34.35,3,103.05,9.43,28.29,Two-Day,2025-07-27,2025-07-26,Amazon Logistics,Delivered,-1.0,77.86,5.0,447,24,In Stock,Supplier-B,2.8,9,,341.3,0.83,41.87,-87.62
ORD-000069,2025-10-12,FC-ATL-07,Atlanta,GA,Southeast,Office Products,213.88,5,1069.4,5.24,26.2,Two-Day,2025-10-14,2025-10-15,Amazon Logistics,Delivered,1.0,28.35,2.0,335,82,In Stock,Supplier-A,3.7,4,,1114.7,0.9,33.75,-84.38
ORD-000070,2025-08-05,FC-ATL-07,Atlanta,GA,Southeast,Health & Personal Care,291.82,1,291.82,3.7,3.7,Standard (3-5 days),2025-08-09,,FedEx,Cancelled,,6.64,,110,86,In Stock,Supplier-A,2.8,10,,1618.4,0.68,33.75,-84.38
ORD-000071,2025-12-26,FC-DFW-04,Dallas,TX,South,Grocery,27.42,2,54.84,9.63,19.26,Standard (3-5 days),2025-12-31,,FedEx,Out for Delivery,,43.64,,345,78,In Stock,Supplier-D,4.7,8,,2387.8,0.82,32.77,-96.79
ORD-000072,2025-11-04,FC-SEA-06,Seattle,WA,West,Clothing,50.72,5,253.6,1.04,5.2,Economy (5-8 days),2025-11-11,,USPS,In Transit,,18.07,,432,67,In Stock,Supplier-D,4.4,16,,2487.2,0.73,47.6,-122.33
ORD-000073,2026-02-02,FC-DFW-04,Dallas,TX,South,Grocery,6.58,5,32.9,2.92,14.6,Two-Day,2026-02-04,2026-02-07,Amazon Logistics,Delivered,3.0,16.52,3.0,145,96,In Stock,Supplier-A,3.8,12,,69.4,0.99,32.77,-96.79
ORD-000074,2026-05-06,FC-DFW-04,Dallas,TX,South,Health & Personal Care,155.78,1,155.78,6.13,6.13,Standard (3-5 days),2026-05-11,2026-05-11,USPS,Delivered,0.0,15.53,5.0,235,65,In Stock,Supplier-B,2.8,14,,2674.4,0.7,32.77,-96.79
ORD-000075,2025-12-18,FC-MIA-05,Miami,FL,Southeast,Toys,59.34,1,59.34,0.51,0.51,Standard (3-5 days),2025-12-23,,FedEx,Out for Delivery,,3.81,,88,82,In Stock,Supplier-E,4.5,6,,1805.9,0.72,25.76,-80.19
ORD-000076,2025-09-06,FC-ATL-07,Atlanta,GA,Southeast,Home & Kitchen,103.43,1,103.43,13.67,13.67,Economy (5-8 days),2025-09-13,2025-09-15,USPS,Delivered,2.0,18.98,1.0,382,97,In Stock,Supplier-A,4.1,15,,209.7,0.81,33.75,-84.38
ORD-000077,2025-12-21,FC-SEA-06,Seattle,WA,West,Automotive,151.94,5,759.7,1.53,7.65,Same-Day,2025-12-21,2025-12-22,Amazon Logistics,Delivered,1.0,25.41,2.0,385,96,In Stock,Supplier-E,3.8,10,,1324.2,0.91,47.6,-122.33
ORD-000078,2025-12-13,FC-CHI-03,Chicago,IL,Midwest,Clothing,42.37,3,127.11,1.97,5.91,One-Day,2025-12-14,2025-12-14,UPS,Delivered,0.0,13.41,4.0,390,37,In Stock,Supplier-D,3.9,18,,1216.2,0.83,41.87,-87.62
ORD-000079,2025-09-30,FC-DFW-04,Dallas,TX,South,Books,62.12,1,62.12,1.75,1.75,Two-Day,2025-10-02,,FedEx,In Transit,,4.58,,211,74,In Stock,Supplier-C,3.4,13,,1066.3,0.86,32.77,-96.79
ORD-000080,2026-05-24,FC-MIA-05,Miami,FL,Southeast,Clothing,111.41,3,334.23,0.55,1.65,Two-Day,2026-05-26,2026-05-26,UPS,Returned,0.0,6.39,,79,30,In Stock,Supplier-A,4.3,10,,2783.9,0.95,25.76,-80.19
ORD-000081,2025-10-29,FC-MIA-05,Miami,FL,Southeast,Electronics,764.28,3,2292.84,1.9,5.7,Two-Day,2025-10-31,2025-10-31,UPS,Delivered,0.0,14.23,5.0,267,53,In Stock,Supplier-E,3.7,7,,2100.5,0.87,25.76,-80.19
ORD-000082,2026-06-09,FC-ATL-07,Atlanta,GA,Southeast,Grocery,54.97,5,274.85,6.37,31.85,Same-Day,2026-06-09,2026-06-10,Amazon Logistics,Delivered,1.0,73.23,5.0,335,21,In Stock,Supplier-A,3.5,11,,2005.8,0.97,33.75,-84.38
ORD-000083,2026-05-30,FC-SEA-06,Seattle,WA,West,Home & Kitchen,335.77,1,335.77,1.81,1.81,One-Day,2026-05-31,2026-06-03,Amazon Logistics,Delivered,3.0,4.61,2.0,443,96,In Stock,Supplier-E,2.7,9,,1526.9,0.78,47.6,-122.33
ORD-000084,2026-05-12,FC-NYC-01,New York,NY,Northeast,Electronics,236.02,2,472.04,1.67,3.34,Standard (3-5 days),2026-05-16,,UPS,Out for Delivery,,5.83,,350,65,In Stock,Supplier-C,4.1,10,,2988.2,0.99,40.71,-74.0
ORD-000085,2025-07-21,FC-MIA-05,Miami,FL,Southeast,Electronics,715.21,3,2145.63,0.3,0.9,Standard (3-5 days),2025-07-24,2025-07-24,Amazon Logistics,Delivered,0.0,3.62,4.0,266,98,In Stock,Supplier-B,3.5,21,,500.6,0.99,25.76,-80.19
ORD-000086,2026-04-22,FC-SEA-06,Seattle,WA,West,Office Products,14.81,5,74.05,6.81,34.05,One-Day,2026-04-23,,UPS,In Transit,,49.24,,70,59,In Stock,Supplier-E,4.8,16,,2987.3,0.99,47.6,-122.33
ORD-000087,2026-05-06,FC-CHI-03,Chicago,IL,Midwest,Grocery,24.97,2,49.94,5.17,10.34,Standard (3-5 days),2026-05-11,,Amazon Logistics,Cancelled,,15.5,,15,60,Low Stock,Supplier-D,4.9,12,,1356.9,0.97,41.87,-87.62
ORD-000088,2025-09-10,FC-MIA-05,Miami,FL,Southeast,Clothing,32.76,2,65.52,1.33,2.66,One-Day,2025-09-11,,FedEx,In Transit,,6.5,,290,98,In Stock,Supplier-B,4.0,10,,2077.8,0.74,25.76,-80.19
ORD-000089,2026-03-15,FC-DEN-08,Denver,CO,West,Clothing,62.92,5,314.6,1.41,7.05,Standard (3-5 days),2026-03-19,2026-03-19,Amazon Logistics,Delivered,0.0,11.62,5.0,209,21,In Stock,Supplier-C,4.9,10,,2240.0,1.0,39.73,-104.99
ORD-000090,2025-10-18,FC-DFW-04,Dallas,TX,South,Home & Kitchen,63.63,2,127.26,14.08,28.16,Economy (5-8 days),2025-10-26,,FedEx,Cancelled,,80.52,,218,71,In Stock,Supplier-A,4.0,15,,2174.6,0.76,32.77,-96.79
ORD-000091,2025-09-06,FC-NYC-01,New York,NY,Northeast,Automotive,42.91,1,42.91,3.48,3.48,Standard (3-5 days),2025-09-09,2025-09-10,UPS,Delivered,1.0,9.8,4.0,322,26,In Stock,Supplier-B,3.2,15,,2659.0,0.91,40.71,-74.0
ORD-000092,2026-02-06,FC-MIA-05,Miami,FL,Southeast,Office Products,264.43,2,528.86,9.25,18.5,Two-Day,2026-02-08,2026-02-08,FedEx,Returned,0.0,44.64,,46,84,Low Stock,Supplier-A,2.9,21,,2103.5,0.65,25.76,-80.19
ORD-000093,2025-12-26,FC-ATL-07,Atlanta,GA,Southeast,Health & Personal Care,201.4,4,805.6,2.65,10.6,Same-Day,2025-12-26,2025-12-26,Amazon Logistics,Returned,0.0,19.68,,332,40,In Stock,Supplier-A,2.7,17,Changed Mind,301.7,0.88,33.75,-84.38
ORD-000094,2025-10-31,FC-CHI-03,Chicago,IL,Midwest,Sports & Outdoors,171.01,5,855.05,8.19,40.95,One-Day,2025-11-01,,UPS,In Transit,,54.35,,444,38,In Stock,Supplier-B,4.4,4,,1287.8,0.72,41.87,-87.62
ORD-000095,2026-05-08,FC-DEN-08,Denver,CO,West,Toys,52.16,2,104.32,4.28,8.56,One-Day,2026-05-09,,Amazon Logistics,Out for Delivery,,10.93,,254,83,In Stock,Supplier-E,4.5,18,,751.7,0.84,39.73,-104.99
ORD-000096,2026-06-02,FC-DEN-08,Denver,CO,West,Office Products,270.19,4,1080.76,1.02,4.08,Two-Day,2026-06-04,2026-06-04,Amazon Logistics,Delivered,0.0,11.06,4.0,25,43,Low Stock,Supplier-B,2.6,14,,158.3,0.94,39.73,-104.99
ORD-000097,2026-03-27,FC-MIA-05,Miami,FL,Southeast,Health & Personal Care,193.6,1,193.6,9.01,9.01,Same-Day,2026-03-27,2026-03-27,Amazon Logistics,Delivered,0.0,23.3,4.0,293,91,In Stock,Supplier-B,4.9,21,,1112.6,0.61,25.76,-80.19
